date,open,high,low,close,volume
2023-01-02,3900.0,3904.05,3891.51,3895.55,3190105546
2023-01-03,3895.55,3945.12,3857.92,3907.38,4636118154
2023-01-04,3907.38,3927.82,3901.11,3921.53,3718918550
2023-01-05,3921.53,3952.87,3918.46,3949.78,4019279037
2023-01-06,3949.78,3979.53,3947.16,3976.9,4539583976
2023-01-09,3976.9,3981.59,3946.47,3951.14,4321356461
2023-01-10,3951.14,3956.49,3948.61,3953.97,5100949306
2023-01-11,3953.97,3974.46,3923.16,3943.61,2759726199
2023-01-12,3943.61,3984.98,3937.92,3979.24,2533885036
2023-01-13,3979.24,4070.65,3952.8,4043.79,4373413712
2023-01-16,4043.79,4104.94,4007.04,4067.98,4130421129
2023-01-17,4067.98,4112.35,4063.97,4108.31,4187346272
2023-01-18,4108.31,4167.09,4078.26,4136.83,5302144841
2023-01-19,4136.83,4154.94,4063.09,4080.95,2364967781
2023-01-20,4080.95,4106.92,4060.91,4086.85,2487251116
2023-01-23,4086.85,4101.37,4075.6,4090.11,3200704971
2023-01-24,4090.11,4107.71,4048.19,4065.69,3532651481
2023-01-25,4065.69,4093.63,4047.08,4074.98,5571956515
2023-01-26,4074.98,4101.84,4016.16,4042.81,2816099133
2023-01-27,4042.81,4057.18,4026.51,4040.87,3566039590
2023-01-30,4040.87,4102.03,4038.59,4099.72,4205019077
2023-01-31,4099.72,4143.1,4026.38,4069.45,4993599681
2023-02-01,4069.45,4078.22,4063.26,4072.03,3335630973
2023-02-02,4072.03,4088.75,4053.43,4070.14,5594474971
2023-02-03,4070.14,4111.57,4055.25,4096.59,4559579195
2023-02-06,4096.59,4129.83,3993.13,4025.8,3851866669
2023-02-07,4025.8,4043.9,4006.09,4024.18,4220925282
2023-02-08,4024.18,4056.08,3989.25,4021.12,5432162380
2023-02-09,4021.12,4031.15,3989.52,3999.5,5791135383
2023-02-10,3999.5,4000.13,3982.65,3983.27,2369618951
2023-02-13,3983.27,4049.26,3961.92,4027.67,5051485711
2023-02-14,4027.67,4031.79,4011.9,4016.0,3573829431
2023-02-15,4016.0,4067.21,4015.28,4066.48,5695882159
2023-02-16,4066.48,4074.51,4063.63,4071.66,4794598549
2023-02-17,4071.66,4099.23,4024.43,4051.86,3160570683
2023-02-20,4051.86,4061.02,4031.48,4040.61,3765154902
2023-02-21,4040.61,4057.84,3928.99,3945.82,5353070585
2023-02-22,3945.82,3973.62,3915.32,3943.1,2843146769
2023-02-23,3943.1,4037.69,3918.13,4012.29,3274401249
2023-02-24,4012.29,4037.57,3953.1,3978.17,2750221366
2023-02-27,3978.17,4012.92,3948.54,3983.25,5003055323
2023-02-28,3983.25,3983.41,3982.97,3983.12,3366961805
2023-03-01,3983.12,4082.14,3976.41,4075.27,5363398760
2023-03-02,4075.27,4111.99,4057.01,4093.64,2408530599
2023-03-03,4093.64,4208.36,4052.36,4166.34,2508352427
2023-03-06,4166.34,4167.17,4151.04,4151.87,4938167794
2023-03-07,4151.87,4168.28,4138.87,4155.27,3911016561
2023-03-08,4155.27,4161.3,4119.51,4125.49,5340758947
2023-03-09,4125.49,4133.42,4093.64,4101.52,4141465919
2023-03-10,4101.52,4117.89,4082.94,4099.3,3322178648
2023-03-13,4099.3,4160.99,4098.21,4159.89,3777160302
2023-03-14,4159.89,4161.29,4138.75,4140.14,3008910413
2023-03-15,4140.14,4168.29,4084.42,4112.39,3028413037
2023-03-16,4112.39,4125.87,4103.08,4116.56,4471970646
2023-03-17,4116.56,4182.93,4063.38,4129.59,5294687440
2023-03-20,4129.59,4166.23,4121.72,4158.31,4608320001
2023-03-21,4158.31,4177.47,4145.35,4164.49,5567851266
2023-03-22,4164.49,4176.69,4111.16,4123.24,5024629927
2023-03-23,4123.24,4149.03,4108.2,4133.95,2548950931
2023-03-24,4133.95,4144.88,4084.98,4095.81,3881288804
2023-03-27,4095.81,4132.25,4052.62,4089.0,5742994760
2023-03-28,4089.0,4138.61,4074.57,4124.05,3421489379
2023-03-29,4124.05,4159.78,4109.76,4145.42,2884752070
2023-03-30,4145.42,4153.68,4097.32,4105.51,3202762520
2023-03-31,4105.51,4162.69,4049.69,4106.85,3795270682
2023-04-03,4106.85,4165.55,4083.02,4141.52,2382117986
2023-04-04,4141.52,4221.73,4141.3,4221.51,5688386526
2023-04-05,4221.51,4318.56,4199.54,4296.2,2798719998
2023-04-06,4296.2,4297.81,4266.21,4267.81,3643745053
2023-04-07,4267.81,4317.04,4258.81,4307.96,5747111837
2023-04-10,4307.96,4353.01,4257.07,4302.06,3838030122
2023-04-11,4302.06,4332.21,4178.2,4207.7,5783521682
2023-04-12,4207.7,4221.49,4132.45,4146.04,2757268570
2023-04-13,4146.04,4208.72,4053.49,4115.71,4285049046
2023-04-14,4115.71,4126.46,4040.43,4051.0,2405794982
2023-04-17,4051.0,4065.5,3996.51,4010.87,5269791611
2023-04-18,4010.87,4120.06,3959.69,4068.15,2488401274
2023-04-19,4068.15,4121.19,4037.96,4090.84,4630765192
2023-04-20,4090.84,4106.34,4078.49,4093.98,5405034330
2023-04-21,4093.98,4129.53,4060.99,4096.52,4429773437
2023-04-24,4096.52,4112.33,4034.72,4050.35,4082017775
2023-04-25,4050.35,4083.27,4043.8,4076.68,4778290482
2023-04-26,4076.68,4105.32,4052.18,4080.8,4618084802
2023-04-27,4080.8,4101.11,4050.78,4071.04,4906712172
2023-04-28,4071.04,4124.76,4059.13,4112.73,5794435987
2023-05-01,4112.73,4130.24,4112.5,4130.0,2967355524
2023-05-02,4130.0,4187.4,4064.79,4122.08,5371111025
2023-05-03,4122.08,4168.51,4105.74,4152.05,2767888596
2023-05-04,4152.05,4219.68,4118.46,4185.82,4402039956
2023-05-05,4185.82,4250.83,4182.88,4247.86,2228163185
2023-05-08,4247.86,4283.49,4228.24,4263.8,4588199373
2023-05-09,4263.8,4291.48,4258.65,4286.31,2615543213
2023-05-10,4286.31,4350.7,4265.97,4330.16,3180453564
2023-05-11,4330.16,4355.45,4252.02,4277.0,2932950324
2023-05-12,4277.0,4292.01,4241.09,4256.02,3958714667
2023-05-15,4256.02,4353.63,4228.34,4325.5,2532274483
2023-05-16,4325.5,4335.15,4286.33,4295.92,2212764480
2023-05-17,4295.92,4341.75,4259.54,4305.3,3143038944
2023-05-18,4305.3,4337.97,4270.93,4303.59,3739672908
2023-05-19,4303.59,4322.49,4302.97,4321.87,5379183015
2023-05-22,4321.87,4386.54,4303.38,4367.85,5204542071
2023-05-23,4367.85,4375.21,4340.37,4347.68,2658803869
2023-05-24,4347.68,4399.84,4263.9,4315.67,5066040297
2023-05-25,4315.67,4419.33,4273.11,4376.17,2956275538
2023-05-26,4376.17,4389.78,4363.94,4377.55,5008418470
2023-05-29,4377.55,4430.22,4359.7,4412.23,4434381436
2023-05-30,4412.23,4522.02,4361.85,4470.97,5312580506
2023-05-31,4470.97,4560.41,4463.68,4552.98,5373098336
2023-06-01,4552.98,4634.85,4546.06,4627.82,3395867684
2023-06-02,4627.82,4726.18,4606.76,4704.77,5310630502
2023-06-05,4704.77,4740.7,4684.13,4719.99,5034548232
2023-06-06,4719.99,4832.56,4683.91,4795.9,5290935704
2023-06-07,4795.9,4864.94,4743.69,4812.56,3857091644
2023-06-08,4812.56,4860.93,4736.77,4784.87,3019343754
2023-06-09,4784.87,4820.11,4782.08,4817.3,3381743024
2023-06-12,4817.3,4959.33,4760.5,4901.54,3204849973
2023-06-13,4901.54,4924.6,4848.87,4871.8,5732138873
2023-06-14,4871.8,4887.41,4745.68,4760.93,2615230306
2023-06-15,4760.93,4795.04,4757.62,4791.7,5665123536
2023-06-16,4791.7,4805.41,4777.21,4790.92,3764429530
2023-06-19,4790.92,4815.63,4762.07,4786.77,4382351871
2023-06-20,4786.77,4788.8,4739.1,4741.11,4275716956
2023-06-21,4741.11,4785.77,4695.66,4740.32,2206088601
2023-06-22,4740.32,4810.49,4724.38,4794.36,4789947996
2023-06-23,4794.36,4837.18,4749.39,4792.19,3511197298
2023-06-26,4792.19,4876.02,4774.11,4857.69,3388720129
